text,true_label,prediction
Opinion | Haiti needs elections — and outside actors to make them safe - The Washington Post https://t.co/zkinOTijSy #2020Elections #Elections #Politics #GeneralElection,1,0
"We can provide prados for all MPs and even sponsor Namal baby to the Olympics, but we can't buy smartphones for teachers to conduct online classes 😌😌 හරි හරි ඔහොම යන් #SriLanka #Politics #LKAParliament https://t.co/oswbBOjh3B",1,0
PM Mr @narendramodi  is a phenomenon… entire #Opposition already in panic mode….  U think they r showing their #weakness already ?  You like or u don’t one has to accept he is giving each one run for their money …..  #2024  a year to watch for in #Indian  #politics https://t.co/RjMOmErAyj,1,0
@Burien City Council allows staff extra time to draw up @DESCSeattle project priority deal: https://t.co/vvtMouvhxO #burien #housing #homelessness #government #politics https://t.co/NwqI8zIXLB,1,0
"People just choose not to see it, because they need a problem to be upset about.  #poverty #capitalism #freemarket #progress #politics #economics #facts #history #activism https://t.co/5h3QJyMxpa",1,0
#Russia #Navy #Putin #VladimirPutin #Politics #UnitedStates #EU #Germany #France #UK #PresidentBiden #China #Military   President Biden job keeps getting tougher every day as Russia and China exploit the current political unrest after 2020 Presidential Election.    Select Committee* https://t.co/ycfTxFFwcb,1,0
Biden US Attorney nominee has lengthy do-not-prosecute list https://t.co/pqs0xC6M5G  - @politic_talks #Politics #Political,1,0
Nothing makes me sadder than releasing #Balloons🎈 at #Celebrations 🎇 😢   🐢🐳🐾  #AttackAds #Politics #Promises #CheapTalk also 'Up There. 👀🍁  #Ads &amp; #EmptyWords are 💲  #ChildrenAreTheLeaders  They are our #1 Priority because we &amp; the #SoCalledLeaders have failed. Ask. 👣😢,1,0
"@najamsethi @YouTube Is this sign that #Miltablishment, far from retreating after a loss of credibility among #Pakistanis &amp; adopting a neutral stance in #politics, has determined to go the whole hog with @ImranKhanPTI come hell or high water which means another rigged election in 2022-23 &amp; another 5yr of him",1,0
"#GregAbbott called on the federal government for help with #COVID WHILE threatening school districts that require masks. #DeathSantis asked the federal government for ventilators today, while saying there is no COVID problem in his state. #COVIDIOTS #POLITICS #Texas #Florida",1,0
Sen. Tom Cotton: Biden's border crisis amounts to a national emergency. Dems' shocking amnesty ploy must be stopped | Fox News #uspoliticalnews #politics #usnews #news https://t.co/LG7lsyT6lL,1,0
Being trans is a political act by @inforandomacts https://t.co/8ZywdoNmH0 #LGBTQ #Lgbtqia #Transgender #QueerTheory #Politics #Gender #Trans #Queer,1,0
"Newsom, Jenner, Elder won't attend California recall election gubernatorial debate https://t.co/o3SzcDYY07  - @politic_talks #Politics #Political",1,0
"Right, Chris, apparently they'd rather be indoctrinated by folks like you and Ron DeathSantis #tuesdaymotivations  #politics #tuesdayvibe https://t.co/j6WlPZhQsW",1,0
