text,true_label,prediction
House Oversight Republicans demand hearing in New Mexico on border crisis https://t.co/WAUnhUSzrn  - @politic_talks #Politics #Political,0,1
"@LakotaMan1 Agreed 100% especially with respect to #politics  Unfortunately for most, De-Nile (denial) IS just a river in Egypt! https://t.co/c6uwC8zaPt",0,1
"#Nagaland | The government turns opposition-less as the ruling People’s Democratic Alliance(PDA) and the Naga People’s Front(NPF) join hands to form Nagaland United Government.
@Neiphiu_Rio @AlongImna | By Dipankar Roy
#Kohima #Politics
https://t.co/OTiztGllqf",0,1
"Republican delusion about the Capitol riot hits a dangerous new lowx. #us #politics via @TheEconomist 

https://t.co/xD6Aoyj3r9",0,1
"Hey all! Here's a post you've missed. Read about why....""Being Homeless Shouldn’t Be Criminal."" https://t.co/KNO9ItDZFH #Homelessness #Homesforall #Politics #Culture",0,1
Primary race against Alaska Sen. Murkowski heats up https://t.co/EDfhHufF8h  - @politic_talks #politics #politic,0,1
"https://t.co/Nso0ss6FTr

This video by me is informing the BJP government that the loss and suffering of the farmers in the last 5 years should be cleared by the BJP government.
#Politics #farmer #indianfarmer #kannada #Karnataka #yediyurappaResigns #BasavarajBommai #KarnatakaCM",0,1
"U.S. to ship 4 mln COVID-19 vaccine doses to Nigeria, 5.66 mln to South Africa via @Reuters 

https://t.co/eDI2JwpGgG 

#SouthAfrica #Nigeria #US #COVID19 #DeltaVariant #vaccines #economy #economics #workers #families #politics #PoliticalParties #RegionalSecurity #recovery",0,1
"Hey all! Here's a post you've missed. Read about why....""Being Homeless Shouldn’t Be Criminal."" https://t.co/1nrWDwdyGR #Homelessness #Homesforall #Politics #Culture",0,1
"Out of a population of about 330,000,000 U.S. citizens, 10.5% (about 34,650,000) live in poverty. https://t.co/1d8KehY5dl  #USA #politics #money",0,1
Retail Sales Peaked in March and Have Declined Ever Since Stimulus Ended https://t.co/LLunjmZRAH #politics #political #economy,0,1
Via @RawStory: Judge signs off on new money laundering probe into Trump’s Scottish golf resorts https://t.co/i83INVRBzV | #politics #trump #corruption,0,1
Texas Supreme Court allows for arrest of Democrats who don’t show up to legislature https://t.co/sSPEsLAdC3 #politics #article,0,1
"Lawmaker Chhakka Bahadur Lama has remarked that democracy in Nepal deteriorated and turned into ‘demon-crazy’.
https://t.co/Kyvq5W1Hh3
#Khabarhub #Nepal #politics #democracy #demoncrazy #Humla #lawmaker #parliamentary #panel",0,1
Boris Johnson wants U.S. travellers back https://t.co/bn2hA5EHDV #Politics https://t.co/eQQT8822Zi #Boris #Johnson #wants #U.S. #travellers #back #  428,0,1
"LOL HISTORY

28.7.1946
Lesao Lehohla is born in Mafeteng. He was 1st elected into parliament in 1993 when he became Min of Home Affairs under BCP. He also served in Transport, Posts &amp; Communication and Education and also DPM

#OnThisDay 
#History 
#Politics 
#Lesotho 
#birthday",0,1
"Society is being held hostage. 

#COVID19 #tyranny #politics",0,1
"The #Media &amp; #Politics are the problem to our #CivilSocieties &amp; #CivilLiberties a #mustread 
@GlobalDebout @AbbyMartin @ActivistPost @alwareness @eu_echo @civilrightsorg @FreedomNewsGB @WorldWideDemo 
https://t.co/bD2o7NTcay",0,1
Albany County Legislature and Board of Elections trying to make voting easier and more reliable - NEWS10 ABC https://t.co/qMdTSFwacB #2020Elections #Elections #Politics #GeneralElection,0,1
"Once upon a time, there was a movement to see #BlackMen move forward in the realms of #politics and leadership.  Now, its #Women and #homosexuals (nothing wrong with either). What happened?",0,1
"Love and gratitude can be expressed cost-effectively. Subtle masterstroke by the new Chief Minister of Karnataka

#BasavarajBommai #karnatakapolitics #bommai 
#Kannada #karnatakanewcm #Politics

https://t.co/RMPZySmuIk",0,1
"#Tunisia |The President proclaimed that he will dissolve the government and appoint judicial powers to himself. 
 Article by Sami Erchoff
#politics #Tunisie 
https://t.co/pBpw2iE7SX",0,1
Gov. Edwards' chief lawyer says the governor is not planning to enact broad coronavirus vaccine mandates across Louisiana despite low immunization rates and a surge in COVID-19 cases overwhelming hospitals.  https://t.co/njsmVueQLQ #LouisianaNews #Coronavirus #Politics,0,1
