,text,label
70,"['past', 'three', 'years', ',', 'role', 'governor', 'come', 'question', 'due', 'manner', 'appointed', 'removed', '.', '#Nepal', '#Politics', '#Federalism', '#Republicanism', 'https://t.co/DnDOvhrwoP']",0
77,"['Hey', '!', ""Here's"", 'post', 'missed', '.', 'Read', '...', '""', 'Homeless', '’', 'Criminal', '.', '""', 'https://t.co/NNoRcVRAAQ', '#Homelessness', '#Homesforall', '#Politics', '#Culture']",0
79,"['According', '@BBCNewsnight', 'Leave', 'voters', 'sceptical', 'intervention', 'climate', '.', 'Unsurprising', '.', '#Brexit', '#ClimateCrisis', '#ClimateEmergency', '#politics']",0
82,"['conjuse', 'people', 'MLAs', '/', 'MPs', 'refusing', 'pay', 'tolls', '.', '#politics']",0
91,"['agreement', 'reached', 'EEA', 'Norway', 'Grants', 'funding', 'Hungary', 'https://t.co/kdxxzXcq9u', '#Politics', 'https://t.co/eQQT8822Zi', '#No', '#agreement', '#reached', '#on', '#EEA', '#and', '#Norway', '#Grants', '#funding', '#for', '#Hungary', '#', '430']",0
97,"['@WalshFreedom', '#conservative', 'philosophy', ',', 'taught', '#reagan', 'dead', '.', 'doubt', '#DeSantis', 'understands', '.', 'current', 'base', '#GOP', 'definitely', 'understand', '.', 'care', 'outlook', ',', 'use', 'influence', 'build', 'third', 'party', '.', '#maga', '#Progressive', '#politics', '#midterm']",0
100,"['Uttar', 'Pradesh', 'Deputy', 'CM', '@kpmaurya1', 'hits', 'Rahul', 'Gandhi', 'Akhilesh', 'Yadav', 'exclusive', 'chat', '#PanchayatAajTakUP', 'details', ':', 'https://t.co/p8TdZtz1mf', '#UttarPradesh', '#UPElections2022', '#Politics', 'https://t.co/QK76KH1WBm']",0
105,"['spats', '@Twitter', ',', ""India's"", 'government', 'begins', 'messaging', 'shift', 'rival', '#Koo', '.', '(', 'MSN', ')', '#SocialMedia', '#Politics', 'https://t.co/ekAG00Mj61', 'https://t.co/gVXghQw0EH']",0
107,"['‘', 'Black', 'Lives', 'Matter', 'Co-founder', 'Quits', 'Role', 'Amid', 'Controversy', '$', '3m', 'Property', 'Portfolio', '’', 'https://t.co/4ZLoB4vn1F', '#BLM', '#scam', '#truth', '#politics']",0
110,"['""', 'Opinion', ':', 'get', 'high-risk', '#pesticides', 'bodies', ',', 'insulate', '#EPA', '#politics', 'follow', '#science', '""', '🗣', '️', 'SAY', 'LOUDER', 'PEOPLE', 'BACK', '!', 'via', '@EnvirHealthNews', '@chuckbenbrook', 'https://t.co/fLogYOjJco']",0
113,"[""Bolsonaro's"", ""'"", 'land', 'grab', ""'"", 'bill', 'passes', ""Brazil's"", 'lower', 'house', 'https://t.co/HNSkmFu34u', '#Politics', 'https://t.co/eQQT8822Zi', ""#Bolsonaro's"", '#', ""'"", 'land', '#grab', ""'"", '#bill', '#passes', ""#Brazil's"", '#lower', '#house', '#', '897']",0
119,"['NY', 'Gov', '.', 'Cuomo', 'recorded', 'singing', '‘', 'Love', '?', '’', 'accuser', 'Charlotte', 'Bennett', 'https://t.co/bX9M5wDpLB', '-', '@politic_talks', '#Politics', '#Political']",0
124,"['sides', 'play', 'politics', 'vaccines', '|', 'Letters', '–', 'https://t.co/itwgGrMIwx', 'ChronLaw', 'Politics', 'News', 'https://t.co/MghggJxV3c', '#Politics', '#news', '#law', '#attorney', '#lawyer']",0
127,"['Blackburn', ':', 'Democrats', 'want', 'permanent', 'pandemic', 'https://t.co/IwS45v0qEY', '-', '@politic_talks', '#politics', '#politic']",0
129,"['@PatrickForNYC', '@RebeccaLamorte', '@ninaturner', 'Politics', 'cleaner', '&', 'healthier', 'endeavor', '.', '’', 'typically', 'bull', 'headed', '&', 'dirty', '.', 'needs', 'change', '.', 'must', 'culture', '&', 'mental', 'shift', '.', 'Thought', 'leaders', 'must', 'address', 'issues', 'plague', 'systems', 'make', 'progress', 'feasible', '.', '#healthycompetition', '#politics']",0
134,"['Maltese', 'businessman', 'stand', 'trial', 'murder', 'Daphne', 'Caruana', 'Gal', '...', '(', 'POLITICO', ')', 'Prominent', 'Maltese', 'businessman', 'Yorgen', 'Fenech', 'stand', 'trial', 'charged', 'murder', 'jour', '...', 'Add', 'highlights', ':', 'https://t.co/lwDyubaCfo', '#europe', '#politics', '#', '...']",0
136,"['Red', 'tape', 'cut', 'wine', 'imports', 'save', 'British', 'wine', 'lovers', '£', '130m', 'year', 'https://t.co/Ct8CVnlaNU', '#Politics', 'https://t.co/eQQT8822Zi', '#Red', '#tape', '#cut', '#for', '#wine', '#imports', '#to', '#save', '#British', '#wine', '#lovers', '#', '£', '130m', '#', '#year', '#', '832']",0
137,"['@realDonaldTrump', '-', 'loving', 'Arizona', '#GOP', '#State', '#Senator', 'calls', '#COVID', 'vaccines', ""'"", 'Mark', 'Beast', ""'"", 'unhinged', 'rant', '#politics', 'https://t.co/TRBsgyUwT8']",0
142,"['Health', 'officials', 'plot', 'third', 'shot', 'vaccine', 'effects', 'disappoint', '…', '-', '#news', '#politics', '-', 'https://t.co/PodLQVs58Y']",0
144,"['FLASHBACK', ':', 'Dirtbag', 'McConnell', 'Says', '’', 'Want', 'Trump', 'Spend', '$', '1', 'Trillion', 'Infrastructure', '–', 'Supports', 'Biden', '’', '$', '1.2', 'Trillion', 'Plan', '#News', '#Politics', 'https://t.co/rU52GPSikR']",0
146,"['Hey', '!', ""Here's"", 'post', 'might', 'missed', '!', 'Read', '...', '""', 'Boot', 'Straps', 'Myth', ':', 'fallacy', 'boot', 'strap', 'trope', '.', '""', 'https://t.co/pOar273Qs0', '#Politics', '#Poverty']",0
149,"['Via', '@TPM', ':', 'Senate', 'Passes', '$', '3.5', 'Budget', 'Resolution', 'Historic', 'Late', 'Night', 'Infrastructure', 'Push', 'https://t.co/89YQHb7c6L', '|', '#trump', '#politics', '#election2020']",0
150,"['See', 'happenes', 'stop', 'fighting', 'terrorist', 'regimes', '?', 'Nothing', 'Joe', 'say', 'justify', 'withdrawing', 'US', 'Afghanistan', '.', 'world', 'leader', 'Americas', 'obligation', 'protect', 'vulnerable', 'places', 'violent', 'regimes', '.', '#Afghanistan', '#Taliban', '#Politics', 'https://t.co/2scrlOFUup']",0
160,"['Lawsuit', 'says', 'OAN', 'touted', ""'"", 'mathematician', ""'"", 'call', 'election', 'rigged', '—', 'really', 'swing', 'set', 'installer', 'https://t.co/23DtpQ1l8U', '#politics', '#feedly']",0
161,"['Disability', 'employment', 'gap', '‘', 'made', 'worse', '’', 'pandemic', ',', 'Labour', 'warns', 'Leaning', ':', '10', '%', 'Liberal', '-', 'View', 'rating', ':', 'https://t.co/OpyCmrZxZ4', '#ArticleBiasRatings', '#Politics', 'https://t.co/hFy30Qefcj']",0
167,"[""Bolsonaro's"", ""'"", 'land', 'grab', ""'"", 'bill', 'passes', ""Brazil's"", 'lower', 'house', 'https://t.co/HNSkmFu34u', '#Politics', 'https://t.co/eQQT8822Zi', ""#Bolsonaro's"", '#', ""'"", 'land', '#grab', ""'"", '#bill', '#passes', ""#Brazil's"", '#lower', '#house', '#', '586']",0
173,"['US', 'soldiers', '’', 'moral', 'obligation', 'reject', 'compelled', 'gender', 'ideology', '…', '-', '#news', '#politics', '-', 'https://t.co/py3LWIQOz4']",0
174,"['Biden', 'part', 'Obama', 'Administration', '!', '?', ""'"", 'Come', 'man', '.', ""'"", '#politicians', 'protecting', 'legacies', '&', 'citizens', '.', 'Politicians', 'get', 'people', 'killed', '.', ""Let's"", 'hold', 'accountable', ',', 'matter', 'party', 'affiliation', '.', 'Right', 'Left', ',', 'Right', 'Wrong', '.', '#politics', 'https://t.co/Tf7F8aAv2f']",0
175,"['Lukashenko', ':', 'Ukraine', 'buried', 'good', 'relations', 'Belarus', 'https://t.co/Gn1Z7w9yS2', '#Politics', 'https://t.co/eQQT8822Zi', '#Lukashenko', '#zamjenska', '#Ukraine', '#buried', '#good', '#relations', '#with', '#Belarus', '#', '436']",0
176,"['Psaki', 'pushes', 'back', 'DeSantis', ',', 'suggests', 'politicians', 'making', 'public', 'health', 'decisions', 'https://t.co/1R27PYvgHv', '-', '@politic_talks', '#Politics', '#Political']",0
177,"['#OppositionLeader', 'Datuk', 'Seri', '#AnwarIbrahim', '’', 'motion', 'debate', 'Emergency', 'ordinances', 'turned', '#DewanRakyatSpeaker', '#DatukAzharAzizanHarun', 'saying', 'submitted', 'early', '.', '#TheAsianAffairs', '#Malaysia', '#Politics', 'https://t.co/y9L41rZLoY']",0
180,"['@jshoreboston', '@SpareBostonian', 'residents', 'predicted', 'time', ',', 'grades', '’', 'improve', 'changing', 'facility', '.', 'Meanwhile', 'Mattapan', 'students', 'could', 'used', 'shorter', 'commute', 'high', 'school', 'left', 'without', '.', '#politics', '#BPSSchools']",0
187,"['Via', '@RawStory', ':', 'Arkansas', 'hospital', 'reveals', 'alarming', 'findings', 'kids', 'COVID', '-', '19', 'https://t.co/CkhplBESrv', '|', '#politics', '#trump', '#corruption']",0
189,"['Tucker', ':', 'Politicians', ""can't"", 'part', 'enormous', 'amount', 'power', 'amassed', 'https://t.co/5iPR6uz7N7', '-', '@politic_talks', '#Politics', '#Political']",0
191,"['Austria', 'deploy', 'soldiers', 'eastern', 'border', 'halt', 'migration', 'flux', 'https://t.co/daFovWj3ca', '#Politics', 'https://t.co/eQQT8822Zi', '#Austria', '#to', '#deploy', '#more', '#soldiers', '#to', '#eastern', '#border', '#to', '#halt', '#migration', '#flux', '#', '728']",0
192,"['world', 'getting', 'older', '.', 'world', 'getting', 'younger', '.', 'United', 'States', 'dead', ',', 'Democratic', 'Unity', 'killed', '.', 'https://t.co/ZvbyXpAURo', '#politics', '#scifi']",0
199,"['WATCH', ':', 'MASSIVE', 'CROWD', 'Gathers', 'Tennessee', 'School', 'Board', 'Meeting', 'Chanting', '‘', 'Masks', '’', '#News', '#Politics', 'https://t.co/1VtLzEXNL5']",0
208,"['Good', 'news', '!', 'Poverty', 'drops', 'historic', 'low', 'Biden', 'relief', 'https://t.co/jfRMklgxf8', '#politics', '#feedly']",0
210,"['@bronwengwriter', '#BorisJohnson', 'Death', 'dust-faced', 'coalman', 'unfolding', 'one', 'body', 'bag', ',', 'another', '...', 'morning', 'chill', 'Kabul', 'https://t.co/YvcE3oseuT', '#Death', '#tanka', '#poetry', '#micropoetry', '#poem', '#Afghanistan', '#AfghanistanWar', '#War', '#Politics']",0
211,"['Side', 'side', 'comparison', 'news', '.', 'Comment', 'overt', 'bias', 'under-reporting', '.', 'Share', 'support', 'informed', 'democracy', '.', '#news', '#politics', '#media', '#msnbc', '#cnn', '#fox', '-', ':', 'https://t.co/OCTLN0v95U', 'https://t.co/0tkbL2r2de']",0
216,"['""', 'Build', 'Back', 'Better', '""', '#JoeBiden', 'sounds', 'like', 'Joe', 'patting', 'BACK', '.', ""Can't"", 'imagine', 'since', ""'"", 'obviously', 'miracle', 'worker', '!', '#Politics']",0
226,"['Via', '@RawStory', ':', 'Ron', 'DeSantis', 'scorched', ""MSNBC's"", 'Morning', 'Joe', 'latest', ""'"", 'petulant', 'childish', ""'"", 'meltdown', 'COVID', 'https://t.co/9l8qbNgdRQ', '|', '#politics', '#trump', '#corruption']",0
228,"['think', 'aiming', 'success', '.', '‘', 'gold', 'standard', '’', 'accolades', 'appears', 'still', 'hoping', '‘', 'let', 'rip', '’', '.', 'Seriously', 'bad', '#harm', '#risk', '#politics', 'emanating', '#scottyfromqanon', '#auspol', 'https://t.co/JBTPLV45dt']",0
230,"['One', 'Decade', 'Left', 'Fix', 'Future', '@umairh', 'https://t.co/IiZIPrlzIn', '#Life', '#News', '#Leadership', '#Culture', '#Politics']",0
242,"['#Politics', '|', 'Party', 'Politics', 'Begin', '—', 'Democratic', 'Party', 'Founded', '#Election2021', '#NewUlsterElection', 'https://t.co/CgNiWA9qj2']",0
245,"[""ADROIT's"", 'SNAP', '""', 'Never', 'stop', 'believing', 'fighting', ""what's"", 'right', 'worth', '.', '""', '@siddaramaiah', 'Good', 'Morning', '!', '#politics', '#karnataka', '#karnatakapolitics', '#bjp', '#congress', '#ndtv', '#timesnow', '#indianpolitics', '#marketingdigital', '#marketing', '#marketingtips', 'https://t.co/HZLsZOSCuD']",0
246,"['Texas', 'governor', 'calls', 'second', 'special', 'session', ""GOP's"", 'push', 'change', 'election', 'laws', '-', 'POLITICO', 'https://t.co/7UbHaPqfw8', '#2020Elections', '#Elections', '#Politics', '#GeneralElection']",0
247,"['Another', 'unfortunate', 'development', 'within', 'already', '(', 'selectively', ')', 'dysfunctional', 'underperforming', 'Judiciary', 'Pakistan', '#Politics', 'lawyers', 'Judges', '!', 'https://t.co/ich8OUiFuU']",0
248,"['Senator', 'proposes', 'bill', 'would', 'create', 'series', 'tax', 'credits', 'aimed', 'helping', 'preserve', 'local', 'news', 'media', '.', 'Read', ':', 'https://t.co/Pp6fXaJFyw', '#media', '#news', '#community', '#politics', 'https://t.co/CcW0e3aBOO']",0
250,"['Tunisian', 'President', 'Kais', 'Saied', 'suspends', 'parliament', ',', 'dismisses', 'PM', 'https://t.co/tTTQ5wpjhT', '#Politics', 'https://t.co/eQQT8822Zi', '#Tunisian', '#President', '#Kais', '#Saied', '#suspends', '#parliament', '#dismisses', '#PM', '#', '734']",0
253,"['India', 'Resists', 'Taliban', 'Bandwagon', 'ForeignPolicy', '#security', '#ForeignPolicy', '#politics', 'https://t.co/UldtTGFAEN']",0
255,"['#NewsAlert', '📢', '#NajibMikati', ':', '#BILLIONAIRE', 'businessman', 'named', '#Lebanon', ""'"", 'next', 'prime', 'minister', '#pakustv', '#NYC', '#politics', '#MENA', '#Beirut', '#SaadHariri', 'https://t.co/8tBzFIEIVh']",0
268,"['Okay', ',', '’', 'even', 'going', '2', 'continue', '@CNN', 'article', '@TheDemocrats', 'cuz', 'already', 'FAILS', 'admit', 'accept', '#Republicans', 'support', 'party', ',', '(', 'weLL', '3rd', 'Party', '/', 'nonpartisan', 'voters', ',', ')', 'thereby', 'meaning', ',', 'in-fact', ',', 'little', 'support', 'party', '!', '#USA', '#Politics', 'https://t.co/PuJB0Xhsoz']",0
272,"['Thinking', 'UK', 'Government', '’', 'handling', 'coronavirus', 'crisis', ',', 'well', 'rate', 'performance', 'implementing', 'track', 'trace', 'system', '?', '#Coronavirus', '#Politics', '#Government', '#TrackandTrace']",0
274,"['Side', 'side', 'comparison', 'news', '.', 'Comment', 'overt', 'bias', 'under-reporting', '.', 'Share', 'support', 'informed', 'democracy', '.', '#news', '#politics', '#media', '#msnbc', '#cnn', '#fox', '-', ':', 'https://t.co/OCTLN0v95U', 'https://t.co/17ZT8A4wMF']",0
275,"['Tunisian', 'President', 'Kais', 'Saied', 'suspends', 'parliament', ',', 'dismisses', 'PM', 'https://t.co/tTTQ5wpjhT', '#Politics', 'https://t.co/eQQT8822Zi', '#Tunisian', '#President', '#Kais', '#Saied', '#suspends', '#parliament', '#dismisses', '#PM', '#', '806']",0
278,"['Twitter', 'suspends', 'Marjorie', 'Taylor', ""Greene's"", 'account', 'one', 'week', '#News', '#Politics', '#TheFoodandDrugAdministration', '#Twitter', '#Greene', '#TheTwitterRules', '#GeorgiaSenate', 'https://t.co/HByIV3IzZV']",0
279,"['""', '#Politics', 'Today', 'News', ':', 'Tunisian', 'President', 'Political', 'Outsider', 'Accused', 'Coup', '#News', '""', ':', 'https://t.co/EEqIaNEU3q']",0
281,"['@KyleRee86849765', '@VP', 'Thanks', ',', 'Kyle', '!', 'Probably', 'combo', 'factors', '-', 'including', 'prominently', '#crime', '#inflation', '.', '#Biden', '#politics']",0
282,"['@drninaansary', 'Money', '’', 'buy', 'character', 'world', 'money', 'matters', 'gives', 'shit', 'character', '.', '’', 'gonna', 'die', 'broke', ',', 'broken', '&', 'alone', 'good', 'character', '.', 'empathy', 'death', 'sentence', 'huge', 'side', 'suffering', '.', 'hardly', 'wait', '’', '.', '#politics', '#GOP']",0
287,"['Agreement', 'party', 'leaving', 'United', 'Right', 'ruling', 'coalition', 'MPs', 'leave', 'PiS', 'parliamentary', 'club', 'form', '.', '#Poland', '#politics', 'https://t.co/d5ddEMr7n5']",0
288,"['okay', 'use', 'force', 'try', 'overturn', 'government', 'see', 'illegitimate', '?', ')', 'Yes', ',', 'okay', 'use', 'force', '&', 'violence', 'B', ')', 'force', ',', 'money', ',', 'legal', 'maneuvers', ',', 'etc', 'C', ')', ',', 'okay', 'protest', '&', 'vocal', ')', ',', 'accept', 'government', '#Poll', '#Politics', '#Afghanistan', '#Jan6']",0
291,"['Sydney', 'adds', 'four', 'weeks', 'lockdown', 'Australia', 'COVID', '-', '19', 'cases', 'grow', 'via', '@Reuters', 'https://t.co/lL8LpbDlPi', '#Australia', '#NSW', '#Sydney', '#COVID19', '#DeltaVariant', '#vaccines', '#economy', '#economics', '#workers', '#families', '#politics', '#PoliticalParties', '#finance', '#RegionalSecurity', '#recovery']",0
293,"['“', 'Politics', 'skilled', 'use', 'blunt', 'objects', '.', '”', '#Canada', '#Politics', '@VassyKapelos', '@Puglaas', 'https://t.co/L6tzjatovt']",0
303,"['really', '“', 'Council', '”', 'nowadays', '#USA', ',', 'hoarders', 'planning', 'trickle-down', 'effects', 'n', 'prosecuting', 'poor', '?', '?', '!', '#Politics', '🏛', '🎩', '👒']",0
305,"['Boris', 'Johnson', 'laughed', 'talking', 'Margaret', 'Thatcher', 'closing', 'coal', 'mines', 'took', 'questions', 'visit', 'Scotland', '.', 'think', 'safe', 'say', 'Thatcher', 'aspirations', '#ecowarrior', 'made', 'decision', 'destroy', 'UK', 'coal', 'industry', '.', '#Politics']",0
306,"['Government', 'votes', 'starve', 'people', 'make', 'obey', '.', 'Democrats', 'vile', ',', 'evil', ',', 'stupid', 'people', '.', '#politics', '#economics']",0
308,"[""Bolsonaro's"", ""'"", 'land', 'grab', ""'"", 'bill', 'passes', ""Brazil's"", 'lower', 'house', 'https://t.co/HNSkmFu34u', '#Politics', 'https://t.co/eQQT8822Zi', ""#Bolsonaro's"", '#', ""'"", 'land', '#grab', ""'"", '#bill', '#passes', ""#Brazil's"", '#lower', '#house', '#', '507']",0
309,"['“', '. . .', 'big', 'jobs', 'program', 'funded', 'American', 'money', ',', 'moment', 'looked', 'like', 'money', 'would', 'go', 'away', ',', 'everyone', 'went', 'home', '”', '.\n.', '#Afghanistan', ',', '#News', ',', '#World', ',', '#Politics']",0
313,"['win', 'us', '.', 'Congrats', 'bipartisan', 'achievement', 'invests', 'future', ',', 'creates', 'good-paying', 'jobs', ',', 'jobs', ',', 'jobs', '.', 'victory', ',', ',', '.', '#politics', '#congress', '#potus', '#unity', '#unity', '#unity', 'https://t.co/Zwyy0BM6fp']",0
317,"['point', 'lose', 'art', 'compromise', 'politically', '?', 'days', 'either', '100', '%', '100', '%', '.', 'bring', 'back', 'compromise', '/', 'decorum', '/', 'respect', 'improve', 'discourse', '?', '#politics', '#policy']",0
319,"['Exclusive', ':', '#Congress', 'leader', '#KapilSibal', 'spoke', '#Opposition', 'unity', 'roadmap', 'put', 'united', 'front', '#BJP', '|', '#Politics', '#RE', 'https://t.co/p8TO4g76Z6']",0
323,"['Opinion', ':', 'Sarah', 'Huckabee', 'Sanders', 'plays', 'politics', 'COVID', 'gues', '...', '(', 'Poynter', ')', 'Former', 'White', 'House', 'press', 'secretary', 'Sarah', 'Huckabee', 'Sanders', ',', 'running', 'governor', 'Ar', '...', 'Add', 'highlights', ':', 'https://t.co/pHGtVLV1mR', '#LeftWing', '#Politics', '...']",0
325,"['Campaign', 'calls', 'UK', 'ban', 'pesticides', 'gardens', 'urban', 'areas', '(', 'Guardian', ')', 'leading', 'insect', 'expert', 'called', 'UK-wide', 'ban', 'use', 'pesticides', 'gardens', '...', 'Add', 'highlights', ':', 'https://t.co/kpdaoPeajE', '#UK', '#politics']",0
327,"['Majority', 'Leader', 'advocates', 'consensus', 'building', 'Parliament', 'https://t.co/hIo6XaoWZ3', '#Politics', '#Accra', '#ADVOCATES', '#', 'B', '#Building', 'https://t.co/ivsWZ2etoy']",0
328,"['Latin', 'America', 'Daily', 'Briefing', ':', 'Venezuelan', 'talks', 'restart', 'https://t.co/qAizeXly3a', '#energy', '#oil', '#gas', '#latam', '#caribbean', '#politics', '#mexico', '#venezuela', 'https://t.co/uIYVmAIs3D']",0
335,"['Germany', 'suspends', 'economic', 'aid', 'Afghanistan', 'https://t.co/seTKbKoZq3', '#Politics', 'https://t.co/eQQT8822Zi', '#Germany', '#suspends', '#economic', '#aid', '#to', '#Afghanistan', '#', '252']",0
336,"['Black', 'Women', 'Largest', 'Group', ""Brazil's"", 'Public', 'Universities', '#politics', '#feminism', '#racism', '#education', 'https://t.co/UuL8s31jAY', 'via', '@folha']",0
337,"['*', 'PAID', 'BANKS', '*', '&', 'Ripple', 'CEO', 'Compares', 'Regulators', 'Addicts', 'watch', 'https://t.co/fIwlSiJu5E', '#banks', '#yellen', '#treasury', '#banking', '#bank', '#donations', '#corruption', '#ripple', '#xrp', '#crypto', '#cryptocurrency', '#blockchain', '#finance', '#fintech', '#money', '#markets', '#investing', '#politics']",0
340,"['Charlie', 'first', 'cis', 'woman', 'get', 'harassed', 'using', 'bathroom', '.', 'definitely', '’', 'last', 'long', 'people', 'policing', 'bathrooms', '.', '@smedian_network', '#Transgender', '#LGBTQ', '#Politics', '#Equality', '#SocialJustice', 'https://t.co/bi8gUn7lqk']",0
345,"[""Here's"", 'daddy', '@VaushV', 'seriously', ',', 'thanks', '@CoriBush', 'Donate', ':', 'https://t.co/wphEOHUNAi', 'https://t.co/psFhDIVkcz', 'https://t.co/8irdNLpRWq', 'https://t.co/TS9tfliadr', '@majorityfm', '@SamSeder', '@EmmaVigeland', '#politics', '#EvictionMoratorium', '#EvictionCrisis', '#CoriBush', 'https://t.co/1bapG58ab4']",0
346,"['#newpublication', 'Institutionalization', 'transnationalizing', 'political', 'parties', ':', 'case', 'Conservative', 'People', '’', 'Party', 'Estonia', 'https://t.co/DtlreodpY1', '#openaccess', '#free2read', '#migration', '#politics', '#Estonia']",0
350,"['Federal', 'judge', 'blocks', 'Biden', ""admin's"", 'ICE', 'rules', 'narrowed', 'illegal', 'immigrant', 'arrest', 'priorities', 'https://t.co/WUv5TsPjHE', '-', '@politic_talks', '#Politics', '#Political']",0
